测点编号|监测时间|最大值|最小值|平均值
S-SA-AL1|2017/5/17 15:00:00|-261|-400|-337
S-SA-AL1|2017/5/17 16:00:00|-261|-400|-328
S-SA-AL1|2017/5/17 17:00:00|394|-450|-345
S-SA-AL1|2017/5/17 18:00:00|277|-589|-351
S-SA-AL1|2017/5/17 19:00:00|164|-581|-351
S-SA-AL1|2017/5/17 20:00:00|-155|-348|-249
S-SA-AL1|2017/5/17 21:00:00|-152|-350|-250
S-SA-AL1|2017/5/17 22:00:00|-151|-349|-245
S-SA-AL1|2017/5/17 23:00:00|-151|-350|-256
S-SA-AL1|2017/5/18 0:00:00|-52|-260|-161
S-SA-AL1|2017/5/18 1:00:00|-51|-260|-160
S-SA-AL1|2017/5/18 2:00:00|-51|-259|-155
S-SA-AL1|2017/5/18 3:00:00|-51|-260|-149
S-SA-AL1|2017/5/18 4:00:00|-51|-260|-155
S-SA-AL1|2017/5/18 5:00:00|-51|-259|-156
S-SA-AL1|2017/5/18 6:00:00|-52|-260|-150
S-SA-AL1|2017/5/18 7:00:00|-261|-558|-356
S-SA-AL1|2017/5/18 8:00:00|-261|-587|-354
S-SA-AL1|2017/5/18 9:00:00|-261|-400|-334
S-SA-AL1|2017/5/18 10:00:00|-261|-400|-327
S-SA-AL1|2017/5/18 11:00:00|-262|-400|-332
S-SA-AL1|2017/5/18 12:00:00|-261|-567|-358
S-SA-AL1|2017/5/18 13:00:00|-263|-583|-364
S-SA-AL1|2017/5/18 14:00:00|-262|-582|-356
S-SA-AL1|2017/5/18 15:00:00|-262|-400|-329
S-SA-AL1|2017/5/18 16:00:00|-261|-400|-327
S-SA-AL1|2017/5/18 17:00:00|306|-560|-351
S-SA-AL1|2017/5/18 18:00:00|258|-489|-350
S-SA-AL1|2017/5/18 19:00:00|144|-447|-349
S-SA-AL1|2017/5/18 20:00:00|-151|-350|-255
S-SA-AL1|2017/5/18 21:00:00|-151|-350|-248
S-SA-AL1|2017/5/18 22:00:00|-151|-349|-246
S-SA-AL1|2017/5/18 23:00:00|-152|-349|-259
S-SA-AL1|2017/5/19 0:00:00|-51|-260|-151
S-SA-AL1|2017/5/19 1:00:00|-55|-257|-161
S-SA-AL1|2017/5/19 2:00:00|-51|-260|-158
S-SA-AL1|2017/5/19 3:00:00|-52|-260|-163
S-SA-AL1|2017/5/19 4:00:00|-51|-260|-156
S-SA-AL1|2017/5/19 5:00:00|-54|-259|-156
S-SA-AL1|2017/5/19 6:00:00|-51|-259|-157
S-SA-AL1|2017/5/19 7:00:00|-261|-484|-359
S-SA-AL1|2017/5/19 8:00:00|-261|-527|-362
S-SA-AL1|2017/5/19 9:00:00|-265|-398|-323
S-SA-AL1|2017/5/20 10:00:00|-261|-400|-333
S-SA-AL1|2017/5/20 11:00:00|-261|-393|-333
