测点编号|监测时间|应变值(με)|温度(℃)
S-SA-AL1|2017-05-17 15:30:53|-309|31
S-SA-AL1|2017-05-17 15:31:04|-269|32
S-SA-AL1|2017-05-17 15:31:15|-393|31
S-SA-AL1|2017-05-17 15:31:26|-374|34
S-SA-AL1|2017-05-17 15:31:37|-284|30
S-SA-AL1|2017-05-17 15:31:48|-337|31
S-SA-AL1|2017-05-17 15:31:59|-316|34
S-SA-AL1|2017-05-17 15:32:10|-368|30
S-SA-AL1|2017-05-17 15:32:20|-278|31
S-SA-AL1|2017-05-17 15:32:31|-327|31
S-SA-AL1|2017-05-17 15:32:42|-379|34
S-SA-AL1|2017-05-17 15:32:53|-284|32
S-SA-AL1|2017-05-17 15:33:04|-261|31
S-SA-AL1|2017-05-17 15:33:15|-312|34
S-SA-AL1|2017-05-17 15:33:26|-289|31
S-SA-AL1|2017-05-17 15:33:37|-396|32
S-SA-AL1|2017-05-17 15:33:48|-308|33
S-SA-AL1|2017-05-17 15:33:59|-354|34
S-SA-AL1|2017-05-17 15:34:10|-267|34
S-SA-AL1|2017-05-17 15:34:21|-384|33
S-SA-AL1|2017-05-17 15:34:32|-360|34
S-SA-AL1|2017-05-17 15:34:43|-268|34
S-SA-AL1|2017-05-17 15:34:54|-380|34
S-SA-AL1|2017-05-17 15:35:05|-288|34
S-SA-AL1|2017-05-17 15:35:16|-400|34
S-SA-AL1|2017-05-17 15:35:27|-311|33
S-SA-AL1|2017-05-17 15:35:38|-287|34
S-SA-AL1|2017-05-17 15:35:49|-336|34
S-SA-AL1|2017-05-17 15:36:00|-382|34
S-SA-AL1|2017-05-17 15:36:11|-288|34
S-SA-AL1|2017-05-17 15:36:22|-399|32
S-SA-AL1|2017-05-17 15:36:33|-375|34
S-SA-AL1|2017-05-17 15:36:44|-280|32
S-SA-AL1|2017-05-17 15:36:55|-400|34
S-SA-AL1|2017-05-17 15:37:06|-376|34
S-SA-AL1|2017-05-17 15:37:17|-349|34
S-SA-AL1|2017-05-17 15:37:28|-396|33
S-SA-AL1|2017-05-17 15:37:39|-369|31
S-SA-AL1|2017-05-17 15:37:50|-277|31
S-SA-AL1|2017-05-17 15:38:01|-396|31
S-SA-AL1|2017-05-17 15:38:12|-374|30
S-SA-AL1|2017-05-17 15:38:23|-351|33
S-SA-AL1|2017-05-17 15:38:34|-330|34
S-SA-AL1|2017-05-17 15:38:46|-370|31
S-SA-AL1|2017-05-17 15:38:56|-275|34
S-SA-AL1|2017-05-17 15:39:07|-327|32
S-SA-AL1|2017-05-17 15:39:18|-372|30
S-SA-AL1|2017-05-17 15:39:29|-281|32
S-SA-AL1|2017-05-17 15:39:40|-332|33
S-SA-AL1|2017-05-17 15:39:51|-377|31
S-SA-AL1|2017-05-17 15:40:02|-354|30
S-SA-AL1|2017-05-17 15:40:13|-330|34
S-SA-AL1|2017-05-17 15:40:24|-374|30
S-SA-AL1|2017-05-17 15:40:35|-285|34
S-SA-AL1|2017-05-17 15:40:46|-330|34
S-SA-AL1|2017-05-17 15:40:57|-378|32
S-SA-AL1|2017-05-17 15:41:08|-355|30
S-SA-AL1|2017-05-17 15:41:19|-400|33
S-SA-AL1|2017-05-17 15:41:30|-307|31
S-SA-AL1|2017-05-17 15:41:41|-351|31
S-SA-AL1|2017-05-17 15:41:52|-328|30
S-SA-AL1|2017-05-17 15:42:03|-305|32
S-SA-AL1|2017-05-17 15:42:14|-356|33
S-SA-AL1|2017-05-17 15:42:25|-329|33
S-SA-AL1|2017-05-17 15:42:36|-376|30
S-SA-AL1|2017-05-17 15:42:47|-348|30
S-SA-AL1|2017-05-17 15:42:58|-393|31
S-SA-AL1|2017-05-17 15:43:09|-372|31
S-SA-AL1|2017-05-17 15:43:20|-348|33
S-SA-AL1|2017-05-17 15:43:31|-394|31
S-SA-AL1|2017-05-17 15:43:42|-304|30
S-SA-AL1|2017-05-17 15:43:53|-346|31
S-SA-AL1|2017-05-17 15:44:04|-324|34
S-SA-AL1|2017-05-17 15:44:15|-369|32
S-SA-AL1|2017-05-17 15:44:26|-277|32
S-SA-AL1|2017-05-17 15:44:37|-322|30
S-SA-AL1|2017-05-17 15:44:48|-299|32
S-SA-AL1|2017-05-17 15:44:59|-346|31
S-SA-AL1|2017-05-17 15:45:10|-394|31
S-SA-AL1|2017-05-17 15:45:22|-369|30
S-SA-AL1|2017-05-17 15:45:33|-346|32
S-SA-AL1|2017-05-17 15:45:43|-322|33
S-SA-AL1|2017-05-17 15:45:55|-367|31
S-SA-AL1|2017-05-17 15:46:06|-274|34
S-SA-AL1|2017-05-17 15:46:17|-390|33
S-SA-AL1|2017-05-17 15:46:28|-367|31
S-SA-AL1|2017-05-17 15:46:39|-339|31
S-SA-AL1|2017-05-17 15:46:50|-386|34
S-SA-AL1|2017-05-17 15:47:01|-291|30
S-SA-AL1|2017-05-17 15:47:12|-262|33
S-SA-AL1|2017-05-17 15:47:23|-306|31
S-SA-AL1|2017-05-17 15:47:34|-350|34
S-SA-AL1|2017-05-17 15:47:45|-393|31
S-SA-AL1|2017-05-17 15:47:56|-295|30
S-SA-AL1|2017-05-17 15:48:07|-268|30
S-SA-AL1|2017-05-17 15:48:19|-379|30
S-SA-AL1|2017-05-17 15:48:30|-282|31
S-SA-AL1|2017-05-17 15:48:41|-396|31
S-SA-AL1|2017-05-17 15:48:52|-298|30
S-SA-AL1|2017-05-17 15:49:03|-339|34
S-SA-AL1|2017-05-17 15:49:14|-313|34
S-SA-AL1|2017-05-17 15:49:25|-289|33
S-SA-AL1|2017-05-17 15:49:36|-397|32
S-SA-AL1|2017-05-17 15:49:48|-371|31
S-SA-AL1|2017-05-17 15:49:59|-339|30
S-SA-AL1|2017-05-17 15:50:10|-382|32
S-SA-AL1|2017-05-17 15:50:21|-283|33
S-SA-AL1|2017-05-17 15:50:32|-324|33
S-SA-AL1|2017-05-17 15:50:43|-367|34
S-SA-AL1|2017-05-17 15:50:54|-338|32
S-SA-AL1|2017-05-17 15:51:06|-384|30
S-SA-AL1|2017-05-17 15:51:17|-278|31
S-SA-AL1|2017-05-17 15:51:28|-389|31
S-SA-AL1|2017-05-17 15:51:39|-364|33
S-SA-AL1|2017-05-17 15:51:50|-335|31
S-SA-AL1|2017-05-17 15:52:02|-302|31
S-SA-AL1|2017-05-17 15:52:13|-273|31
S-SA-AL1|2017-05-17 15:52:24|-383|34
S-SA-AL1|2017-05-17 15:52:35|-286|33
S-SA-AL1|2017-05-17 15:52:46|-329|30
S-SA-AL1|2017-05-17 15:52:57|-297|31
S-SA-AL1|2017-05-17 15:53:08|-340|32
S-SA-AL1|2017-05-17 15:53:20|-379|32
S-SA-AL1|2017-05-17 15:53:31|-352|34
S-SA-AL1|2017-05-17 15:53:42|-391|34
S-SA-AL1|2017-05-17 15:53:53|-294|33
S-SA-AL1|2017-05-17 15:54:04|-334|33
S-SA-AL1|2017-05-17 15:54:16|-372|30
S-SA-AL1|2017-05-17 15:54:27|-343|33
S-SA-AL1|2017-05-17 15:54:38|-313|32
S-SA-AL1|2017-05-17 15:54:49|-355|33
S-SA-AL1|2017-05-17 15:55:00|-391|34
S-SA-AL1|2017-05-17 15:55:12|-364|34
S-SA-AL1|2017-05-17 15:55:23|-335|30
S-SA-AL1|2017-05-17 15:55:34|-369|31
S-SA-AL1|2017-05-17 15:55:45|-339|34
S-SA-AL1|2017-05-17 15:55:56|-378|32
S-SA-AL1|2017-05-17 15:56:08|-276|34
S-SA-AL1|2017-05-17 15:56:19|-315|32
S-SA-AL1|2017-05-17 15:56:30|-284|33
S-SA-AL1|2017-05-17 15:56:41|-323|30
S-SA-AL1|2017-05-17 15:56:53|-293|34
S-SA-AL1|2017-05-17 15:57:04|-332|31
S-SA-AL1|2017-05-17 15:57:15|-303|32
S-SA-AL1|2017-05-17 15:57:26|-270|31
S-SA-AL1|2017-05-17 15:57:37|-384|31
S-SA-AL1|2017-05-17 15:57:49|-354|34
S-SA-AL1|2017-05-17 15:58:00|-390|32
S-SA-AL1|2017-05-17 15:58:11|-288|30
S-SA-AL1|2017-05-17 15:58:22|-398|33
S-SA-AL1|2017-05-17 15:58:33|-369|32
S-SA-AL1|2017-05-17 15:58:45|-272|33
S-SA-AL1|2017-05-17 15:58:56|-309|33
S-SA-AL1|2017-05-17 15:59:07|-344|34
S-SA-AL1|2017-05-17 15:59:18|-314|33
S-SA-AL1|2017-05-17 15:59:30|-285|33
S-SA-AL1|2017-05-17 15:59:41|-394|32
S-SA-AL1|2017-05-17 15:59:52|-294|34
S-SA-AL1|2017-05-17 16:00:03|-335|33
S-SA-AL1|2017-05-17 16:00:15|-288|34
S-SA-AL1|2017-05-17 16:00:26|-329|31
S-SA-AL1|2017-05-17 16:00:37|-299|32
S-SA-AL1|2017-05-17 16:00:49|-262|30
S-SA-AL1|2017-05-17 16:01:00|-300|30
S-SA-AL1|2017-05-17 16:01:11|-269|34
S-SA-AL1|2017-05-17 16:01:22|-307|32
S-SA-AL1|2017-05-17 16:01:34|-277|32
S-SA-AL1|2017-05-17 16:01:45|-383|32
S-SA-AL1|2017-05-17 16:01:56|-345|33
S-SA-AL1|2017-05-17 16:02:07|-319|30
S-SA-AL1|2017-05-17 16:02:19|-287|32
S-SA-AL1|2017-05-17 16:02:30|-323|32
S-SA-AL1|2017-05-17 16:02:41|-358|31
S-SA-AL1|2017-05-17 16:02:52|-324|31
S-SA-AL1|2017-05-17 16:03:04|-294|34
S-SA-AL1|2017-05-17 16:03:15|-268|31
S-SA-AL1|2017-05-17 16:03:26|-311|32
S-SA-AL1|2017-05-17 16:03:37|-347|33
S-SA-AL1|2017-05-17 16:03:48|-317|31
S-SA-AL1|2017-05-17 16:04:00|-358|31
S-SA-AL1|2017-05-17 16:04:11|-324|33
S-SA-AL1|2017-05-17 16:04:22|-295|31
S-SA-AL1|2017-05-17 16:04:33|-334|33
S-SA-AL1|2017-05-17 16:04:45|-304|34
S-SA-AL1|2017-05-17 16:04:56|-271|31
S-SA-AL1|2017-05-17 16:05:07|-380|32
S-SA-AL1|2017-05-17 16:05:18|-343|33
S-SA-AL1|2017-05-17 16:05:30|-381|33
S-SA-AL1|2017-05-17 16:05:41|-278|33
S-SA-AL1|2017-05-17 16:05:52|-388|34
S-SA-AL1|2017-05-17 16:06:03|-282|30
S-SA-AL1|2017-05-17 16:06:15|-320|31
S-SA-AL1|2017-05-17 16:06:26|-289|34
S-SA-AL1|2017-05-17 16:06:37|-327|30
S-SA-AL1|2017-05-17 16:06:49|-292|34
S-SA-AL1|2017-05-17 16:07:00|-398|34
S-SA-AL1|2017-05-17 16:07:11|-293|33
S-SA-AL1|2017-05-17 16:07:23|-326|32
S-SA-AL1|2017-05-17 16:07:34|-364|30
S-SA-AL1|2017-05-17 16:07:45|-329|30
S-SA-AL1|2017-05-17 16:07:56|-295|32
S-SA-AL1|2017-05-17 16:08:08|-269|34
S-SA-AL1|2017-05-17 16:08:19|-303|30
S-SA-AL1|2017-05-17 16:08:30|-337|34
S-SA-AL1|2017-05-17 16:08:42|-307|30
S-SA-AL1|2017-05-17 16:08:53|-276|31
S-SA-AL1|2017-05-17 16:09:04|-383|33
S-SA-AL1|2017-05-17 16:09:15|-350|32
S-SA-AL1|2017-05-17 16:09:27|-318|34
S-SA-AL1|2017-05-17 16:09:38|-284|33
S-SA-AL1|2017-05-17 16:09:49|-390|33
S-SA-AL1|2017-05-17 16:10:01|-287|33
S-SA-AL1|2017-05-17 16:10:12|-389|32
S-SA-AL1|2017-05-17 16:10:23|-360|30
S-SA-AL1|2017-05-17 16:10:34|-394|31
S-SA-AL1|2017-05-17 16:10:46|-291|34
S-SA-AL1|2017-05-17 16:10:57|-329|30
S-SA-AL1|2017-05-17 16:11:08|-366|33
S-SA-AL1|2017-05-17 16:11:20|-400|32
S-SA-AL1|2017-05-17 16:11:31|-365|34
S-SA-AL1|2017-05-17 16:11:42|-327|30
S-SA-AL1|2017-05-17 16:11:54|-364|33
S-SA-AL1|2017-05-17 16:12:05|-398|32
S-SA-AL1|2017-05-17 16:12:16|-366|33
S-SA-AL1|2017-05-17 16:12:28|-328|31
S-SA-AL1|2017-05-17 16:12:39|-294|31
S-SA-AL1|2017-05-17 16:12:50|-332|31
S-SA-AL1|2017-05-17 16:13:02|-365|30
S-SA-AL1|2017-05-17 16:13:13|-266|30
S-SA-AL1|2017-05-17 16:13:24|-368|33
S-SA-AL1|2017-05-17 16:13:36|-261|33
S-SA-AL1|2017-05-17 16:13:47|-366|30
S-SA-AL1|2017-05-17 16:13:58|-263|30
S-SA-AL1|2017-05-17 16:14:10|-296|32
S-SA-AL1|2017-05-17 16:14:21|-398|33
S-SA-AL1|2017-05-17 16:14:33|-294|34
