测点编号|监测时间|温度(℃)
T-E-1|2017-05-17 15:30:54|34.43
T-E-1|2017-05-17 15:31:05|33.42
T-E-1|2017-05-17 15:31:16|34.42
T-E-1|2017-05-17 15:31:27|33.42
T-E-1|2017-05-17 15:31:37|35.42
T-E-1|2017-05-17 15:31:48|34.42
T-E-1|2017-05-17 15:31:59|33.42
T-E-1|2017-05-17 15:32:10|35.41
T-E-1|2017-05-17 15:32:21|33.41
T-E-1|2017-05-17 15:32:32|34.41
T-E-1|2017-05-17 15:32:43|35.41
T-E-1|2017-05-17 15:32:54|35.41
T-E-1|2017-05-17 15:33:05|35.4
T-E-1|2017-05-17 15:33:16|33.4
T-E-1|2017-05-17 15:33:27|32.4
T-E-1|2017-05-17 15:33:38|32.4
T-E-1|2017-05-17 15:33:49|35.4
T-E-1|2017-05-17 15:34:00|33.39
T-E-1|2017-05-17 15:34:11|35.39
T-E-1|2017-05-17 15:34:22|35.39
T-E-1|2017-05-17 15:34:33|34.39
T-E-1|2017-05-17 15:34:44|32.39
T-E-1|2017-05-17 15:34:55|35.39
T-E-1|2017-05-17 15:35:06|33.38
T-E-1|2017-05-17 15:35:17|35.38
T-E-1|2017-05-17 15:35:28|33.38
T-E-1|2017-05-17 15:35:39|32.38
T-E-1|2017-05-17 15:35:50|33.38
T-E-1|2017-05-17 15:36:01|34.37
T-E-1|2017-05-17 15:36:12|34.37
T-E-1|2017-05-17 15:36:23|32.37
T-E-1|2017-05-17 15:36:34|35.37
T-E-1|2017-05-17 15:36:45|35.37
T-E-1|2017-05-17 15:36:56|35.37
T-E-1|2017-05-17 15:37:07|33.36
T-E-1|2017-05-17 15:37:18|35.36
T-E-1|2017-05-17 15:37:29|33.36
T-E-1|2017-05-17 15:37:40|33.36
T-E-1|2017-05-17 15:37:51|35.36
T-E-1|2017-05-17 15:38:02|34.34
T-E-1|2017-05-17 15:38:13|34.34
T-E-1|2017-05-17 15:38:24|35.34
T-E-1|2017-05-17 15:38:35|34.34
T-E-1|2017-05-17 15:38:46|34.34
T-E-1|2017-05-17 15:38:57|34.34
T-E-1|2017-05-17 15:39:08|34.33
T-E-1|2017-05-17 15:39:19|34.33
T-E-1|2017-05-17 15:39:30|34.33
T-E-1|2017-05-17 15:39:41|33.33
T-E-1|2017-05-17 15:39:52|33.33
T-E-1|2017-05-17 15:40:03|34.32
T-E-1|2017-05-17 15:40:14|35.32
T-E-1|2017-05-17 15:40:25|34.32
T-E-1|2017-05-17 15:40:36|32.32
T-E-1|2017-05-17 15:40:47|35.32
T-E-1|2017-05-17 15:40:58|34.32
T-E-1|2017-05-17 15:41:09|35.31
T-E-1|2017-05-17 15:41:20|35.31
T-E-1|2017-05-17 15:41:31|32.31
T-E-1|2017-05-17 15:41:42|34.31
T-E-1|2017-05-17 15:41:53|35.31
T-E-1|2017-05-17 15:42:04|34.3
T-E-1|2017-05-17 15:42:15|33.3
T-E-1|2017-05-17 15:42:26|35.3
T-E-1|2017-05-17 15:42:37|32.3
T-E-1|2017-05-17 15:42:48|34.3
T-E-1|2017-05-17 15:42:59|33.3
T-E-1|2017-05-17 15:43:10|32.29
T-E-1|2017-05-17 15:43:21|35.29
T-E-1|2017-05-17 15:43:32|35.29
T-E-1|2017-05-17 15:43:43|33.29
T-E-1|2017-05-17 15:43:54|35.29
T-E-1|2017-05-17 15:44:05|33.28
T-E-1|2017-05-17 15:44:16|33.28
T-E-1|2017-05-17 15:44:27|35.28
T-E-1|2017-05-17 15:44:38|35.28
T-E-1|2017-05-17 15:44:49|34.28
T-E-1|2017-05-17 15:45:00|33.26
T-E-1|2017-05-17 15:45:11|35.26
T-E-1|2017-05-17 15:45:22|33.26
T-E-1|2017-05-17 15:45:33|32.26
T-E-1|2017-05-17 15:45:44|35.26
T-E-1|2017-05-17 15:45:55|35.26
T-E-1|2017-05-17 15:46:06|32.25
T-E-1|2017-05-17 15:46:17|33.25
T-E-1|2017-05-17 15:46:28|34.25
T-E-1|2017-05-17 15:46:39|32.25
T-E-1|2017-05-17 15:46:50|33.25
T-E-1|2017-05-17 15:47:01|32.24
T-E-1|2017-05-17 15:47:12|32.24
T-E-1|2017-05-17 15:47:23|33.24
T-E-1|2017-05-17 15:47:35|35.24
T-E-1|2017-05-17 15:47:46|35.24
T-E-1|2017-05-17 15:47:57|33.24
T-E-1|2017-05-17 15:48:08|35.23
T-E-1|2017-05-17 15:48:19|34.23
T-E-1|2017-05-17 15:48:30|34.23
T-E-1|2017-05-17 15:48:41|33.23
T-E-1|2017-05-17 15:48:52|32.23
T-E-1|2017-05-17 15:49:04|34.22
T-E-1|2017-05-17 15:49:15|33.22
T-E-1|2017-05-17 15:49:26|34.22
T-E-1|2017-05-17 15:49:37|35.22
T-E-1|2017-05-17 15:49:48|34.22
T-E-1|2017-05-17 15:49:59|33.22
T-E-1|2017-05-17 15:50:10|33.2
T-E-1|2017-05-17 15:50:22|34.2
T-E-1|2017-05-17 15:50:33|35.2
T-E-1|2017-05-17 15:50:44|35.2
T-E-1|2017-05-17 15:50:55|32.2
